Rank,Forbes 2000 rank,Name,Headquarters,Revenue(billions US$),Profit(billions US$),Industry
1,15,HSBC,London,144.9,22.2,Banking
2,17,Shell plc,London,261.76,17.9,Oil and Gas
3,47,BP,London,202.8,9.2,Oil and Gas
4,110,Rio Tinto,London,54.0,10.1,Mining
5,121,AstraZeneca,Cambridge,47.6,6.3,Pharmaceuticals
6,122,Unilever,London,64.5,7.0,Consumer goods
7,154,Lloyds Banking Group,London,33.1,5.8,Banking
8,166,Barclays,London,31.5,5.1,Banking
9,167,Linde,Guildford,32.8,6.3,Chemicals
10,177,NatWest Group,Edinburgh,33.7,5.1,Banking
11,183,GlaxoSmithKline,London,38.6,5.6,Pharmaceuticals
12,204,National Grid,London,25.4,9.4,Utilities
13,227,Standard Chartered,London,40.1,3.3,Finance
14,314,Diageo,London,20.4,4.0,Beverages
15,349,Vodafone,Newbury,39.8,1.2,Telecommunication
16,359,Tesco,Welwyn Garden City,85.3,1.5,Retail
17,361,BAE Systems,"London, Farnborough",28.7,2.3,Aerospace and defence
18,374,Aviva,London,43.2,1.3,Insurance
19,391,Rolls-Royce,London,20.5,3.0,Aerospace and defence
20,401,LyondellBasell Industries,London,40.6,2.1,Chemicals
21,451,London Stock Exchange,London,10.4,0.95,Finance
22,471,BT Group,London,25.4,2.3,Telecommunication
23,478,Compass Group,Chertsey,40.1,1.7,Services
24,481,Prudential,London,10.9,1.7,Insurance
25,491,Reckitt Benckiser,Slough,18.2,2.0,Consumer goods
26,501,Imperial Brands,Bristol,22.8,2.6,Consumer goods
27,508,Legal & General,London,55.9,0.54,Insurance
28,514,Coca-Cola Europacific Partners,London,19.8,1.8,Beverages
29,528,British American Tobacco,London,33.9,-17.9,Consumer goods
30,546,CNH Industrial,London,24.2,2.3,Industrials
31,568,Haleon,Weybridge,14.0,1.3,Healthcare
32,579,International Airlines Group,London,31.8,2.9,Aviation
33,604,Associated British Foods,London,24.9,1.5,Retail
34,610,Ferguson,Wokingham,29.4,1.8,Construction materials
35,646,RELX,London,11.4,2.2,Services
36,651,Centrica,Windsor,32.9,4.9,Utilities
37,654,Anglo American,London,30.7,0.31,Mining
38,748,Ashtead Group,London,10.7,1.6,Services
39,757,3i Group,London,0.71,4.8,Finance
40,779,SSE,Perth,14.3,0.71,Energy
41,797,Willis Towers Watson,London,9.6,1.0,Insurance
42,885,Phoenix Group,London,33.2,-0.17,Insurance
43,967,St James's Place,Cirencester,23.6,-0.13,Insurance
44,1087,M&G,London,13.8,0.37,Insurance
45,1089,WPP,London,18.5,0.14,Advertising
46,1093,Antofagasta plc,London,6.3,0.83,Mining
47,1103,Sainsbury's,London,40.9,0.17,Retail
48,1126,Amcor,Warmley,13.8,0.65,Packaging materials
49,1167,Investec,London,6.2,1.1,Banking
50,1229,Bunzl,London,14.7,0.65,Distributions
1,15,HSBC,London,144.9,22.2,Banking
2,17,Shell plc,London,261.76,17.9,Oil and Gas
3,47,BP,London,202.8,9.2,Oil and Gas
4,110,Rio Tinto,London,54.0,10.1,Mining
5,121,AstraZeneca,Cambridge,47.6,6.3,Pharmaceuticals
6,122,Unilever,London,64.5,7.0,Consumer goods
7,154,Lloyds Banking Group,London,33.1,5.8,Banking
8,166,Barclays,London,31.5,5.1,Banking
9,167,Linde,Guildford,32.8,6.3,Chemicals
10,177,NatWest Group,Edinburgh,33.7,5.1,Banking
11,183,GlaxoSmithKline,London,38.6,5.6,Pharmaceuticals
12,204,National Grid,London,25.4,9.4,Utilities
13,227,Standard Chartered,London,40.1,3.3,Finance
14,314,Diageo,London,20.4,4.0,Beverages
15,349,Vodafone,Newbury,39.8,1.2,Telecommunication
16,359,Tesco,Welwyn Garden City,85.3,1.5,Retail
17,361,BAE Systems,"London, Farnborough",28.7,2.3,Aerospace and defence
18,374,Aviva,London,43.2,1.3,Insurance
19,391,Rolls-Royce,London,20.5,3.0,Aerospace and defence
20,401,LyondellBasell Industries,London,40.6,2.1,Chemicals
21,451,London Stock Exchange,London,10.4,0.95,Finance
22,471,BT Group,London,25.4,2.3,Telecommunication
23,478,Compass Group,Chertsey,40.1,1.7,Services
24,481,Prudential,London,10.9,1.7,Insurance
25,491,Reckitt Benckiser,Slough,18.2,2.0,Consumer goods
26,501,Imperial Brands,Bristol,22.8,2.6,Consumer goods
27,508,Legal & General,London,55.9,0.54,Insurance
28,514,Coca-Cola Europacific Partners,London,19.8,1.8,Beverages
29,528,British American Tobacco,London,33.9,-17.9,Consumer goods
30,546,CNH Industrial,London,24.2,2.3,Industrials
31,568,Haleon,Weybridge,14.0,1.3,Healthcare
32,579,International Airlines Group,London,31.8,2.9,Aviation
33,604,Associated British Foods,London,24.9,1.5,Retail
34,610,Ferguson,Wokingham,29.4,1.8,Construction materials
35,646,RELX,London,11.4,2.2,Services
36,651,Centrica,Windsor,32.9,4.9,Utilities
37,654,Anglo American,London,30.7,0.31,Mining
38,748,Ashtead Group,London,10.7,1.6,Services
39,757,3i Group,London,0.71,4.8,Finance
40,779,SSE,Perth,14.3,0.71,Energy
41,797,Willis Towers Watson,London,9.6,1.0,Insurance
42,885,Phoenix Group,London,33.2,-0.17,Insurance
43,967,St James's Place,Cirencester,23.6,-0.13,Insurance
44,1087,M&G,London,13.8,0.37,Insurance
45,1089,WPP,London,18.5,0.14,Advertising
46,1093,Antofagasta plc,London,6.3,0.83,Mining
47,1103,Sainsbury's,London,40.9,0.17,Retail
48,1126,Amcor,Warmley,13.8,0.65,Packaging materials
49,1167,Investec,London,6.2,1.1,Banking
50,1229,Bunzl,London,14.7,0.65,Distributions
